covariate,super_topic,spearman_rho,p_value,n_states,fdr_q_value,significant_fdr
education,Education & Homework,-0.3189599717502557,0.057949552756903576,36,0.47187559291348824,False
education,Career & Professional Writing,0.28304801367183713,0.09437511858269765,36,0.47187559291348824,False
education,Creative Writing & Roleplay,-0.20826361351570372,0.22288161447868832,36,0.7309271960211219,False
education,"Finance, Law, and Practical Life",-0.1746685559584734,0.30825769763224525,36,0.7309271960211219,False
education,Personal Advice & Communication,-0.14583601613924124,0.3960560155133594,36,0.7309271960211219,False
education,"Health, Biology, and Medicine",-0.13323035362602295,0.4385563176126731,36,0.7309271960211219,False
education,"Politics, Religion, and Society",0.10078517267169099,0.558640401867259,36,0.7980577169532272,False
education,Information/Trivia & Explanatory QA,0.07980435128537473,0.643603329864804,36,0.804504162331005,False
education,"Media, Art, and Entertainment",0.0314068737316636,0.855711818482532,36,0.913372277660874,False
education,Coding & Technical Help,-0.01879263756074953,0.913372277660874,36,0.913372277660874,False
income,Creative Writing & Roleplay,-0.3498069498069499,0.03649631651044082,36,0.36496316510440824,False
income,Career & Professional Writing,0.2851994851994852,0.09179081021185874,36,0.4589540510592937,False
income,"Media, Art, and Entertainment",0.19819819819819823,0.2465538657816115,36,0.6167542637433836,False
income,Education & Homework,-0.1966537966537967,0.2503294790796865,36,0.6167542637433836,False
income,Personal Advice & Communication,-0.17142857142857146,0.3174572157408504,36,0.6167542637433836,False
income,"Health, Biology, and Medicine",-0.15393525998797805,0.37005255824603017,36,0.6167542637433836,False
income,"Finance, Law, and Practical Life",-0.13101673101673103,0.4462691969966772,36,0.6375274242809674,False
income,Information/Trivia & Explanatory QA,0.049163449163449176,0.7758414414900089,36,0.9074753939775938,False
income,Coding & Technical Help,-0.021621621621621623,0.9003922796549392,36,0.9074753939775938,False
income,"Politics, Religion, and Society",0.020077220077220077,0.9074753939775939,36,0.9074753939775938,False
