super_topic,weighted_prevalence
Creative Writing & Roleplay,0.2630371343581893
"Media, Art, and Entertainment",0.13719643904741322
Information/Trivia & Explanatory QA,0.11088130797230439
Education & Homework,0.1032683597616428
Career & Professional Writing,0.09838047196553701
Coding & Technical Help,0.0824185902973215
"Politics, Religion, and Society",0.0725129915677753
"Finance, Law, and Practical Life",0.060244774243429
Personal Advice & Communication,0.0502252379403353
"Health, Biology, and Medicine",0.0218346928460482
