covariate,super_topic,spearman_rho,p_value,n_states,fdr_q_value,significant_fdr,ci_low,ci_high,ci_sig
education,Education & Homework,-0.3189599717502557,0.057949552756903576,36,0.47187559291348824,False,-0.58492277992278,0.016480051480051477,False
education,Career & Professional Writing,0.28304801367183713,0.09437511858269765,36,0.47187559291348824,False,-0.025746460746460746,0.5771106821106821,False
education,Creative Writing & Roleplay,-0.20826361351570372,0.22288161447868832,36,0.7309271960211219,False,-0.49321106821106825,0.13488416988416987,False
education,"Finance, Law, and Practical Life",-0.1746685559584734,0.30825769763224525,36,0.7309271960211219,False,-0.49146074646074656,0.1812998712998712,False
education,Personal Advice & Communication,-0.14583601613924124,0.3960560155133594,36,0.7309271960211219,False,-0.47520592020592023,0.24279279279279278,False
education,"Health, Biology, and Medicine",-0.13323035362602295,0.4385563176126731,36,0.7309271960211219,False,-0.45050836550836554,0.24273487773487776,False
education,"Politics, Religion, and Society",0.10078517267169099,0.558640401867259,36,0.7980577169532272,False,-0.2744530244530245,0.44404118404118403,False
education,Information/Trivia & Explanatory QA,0.07980435128537473,0.643603329864804,36,0.804504162331005,False,-0.25536679536679535,0.3907400257400257,False
education,"Media, Art, and Entertainment",0.0314068737316636,0.855711818482532,36,0.913372277660874,False,-0.28207207207207213,0.35086872586872586,False
education,Coding & Technical Help,-0.01879263756074953,0.913372277660874,36,0.913372277660874,False,-0.37842985842985843,0.3233140283140284,False
income,Creative Writing & Roleplay,-0.3498069498069499,0.03649631651044082,36,0.36496316510440824,False,-0.5898391248391248,-0.027142857142857274,True
income,Career & Professional Writing,0.2851994851994852,0.09179081021185874,36,0.4589540510592937,False,-0.004118404118404119,0.5516473616473617,False
income,"Media, Art, and Entertainment",0.19819819819819823,0.2465538657816115,36,0.6167542637433836,False,-0.11496782496782497,0.49296653796653794,False
income,Education & Homework,-0.1966537966537967,0.2503294790796865,36,0.6167542637433836,False,-0.49454311454311456,0.14243886743886733,False
income,Personal Advice & Communication,-0.17142857142857146,0.3174572157408504,36,0.6167542637433836,False,-0.49711711711711715,0.19332046332046332,False
income,"Health, Biology, and Medicine",-0.15393525998797805,0.37005255824603017,36,0.6167542637433836,False,-0.4643951093951095,0.22963963963963963,False
income,"Finance, Law, and Practical Life",-0.13101673101673103,0.4462691969966772,36,0.6375274242809674,False,-0.4662419562419563,0.2232110682110682,False
income,Information/Trivia & Explanatory QA,0.049163449163449176,0.7758414414900089,36,0.9074753939775938,False,-0.2767503217503217,0.357097812097812,False
income,Coding & Technical Help,-0.021621621621621623,0.9003922796549392,36,0.9074753939775938,False,-0.36245817245817247,0.33027027027027034,False
income,"Politics, Religion, and Society",0.020077220077220077,0.9074753939775939,36,0.9074753939775938,False,-0.31931788931788935,0.35754182754182756,False
